feature,source_series,group,feat_type
DPCERA3M086SBEA__lag6,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
DPCERA3M086SBEA__lag9,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
DPCERA3M086SBEA__lag12,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
M1SL__lag1,M1SL,Money and Credit,lag
M1SL__lag3,M1SL,Money and Credit,lag
M1SL__lag6,M1SL,Money and Credit,lag
M1SL__lag9,M1SL,Money and Credit,lag
M1SL__lag12,M1SL,Money and Credit,lag
M2SL__lag1,M2SL,Money and Credit,lag
M2SL__lag3,M2SL,Money and Credit,lag
M2SL__lag6,M2SL,Money and Credit,lag
M2SL__lag9,M2SL,Money and Credit,lag
M2SL__lag12,M2SL,Money and Credit,lag
M2REAL__lag1,M2REAL,Money and Credit,lag
M2REAL__lag3,M2REAL,Money and Credit,lag
M2REAL__lag6,M2REAL,Money and Credit,lag
M2REAL__lag9,M2REAL,Money and Credit,lag
M2REAL__lag12,M2REAL,Money and Credit,lag
TOTRESNS__lag1,TOTRESNS,Money and Credit,lag
TOTRESNS__lag3,TOTRESNS,Money and Credit,lag
TOTRESNS__lag6,TOTRESNS,Money and Credit,lag
TOTRESNS__lag9,TOTRESNS,Money and Credit,lag
TOTRESNS__lag12,TOTRESNS,Money and Credit,lag
NONBORRES__lag1,NONBORRES,Money and Credit,lag
NONBORRES__lag3,NONBORRES,Money and Credit,lag
NONBORRES__lag6,NONBORRES,Money and Credit,lag
NONBORRES__lag9,NONBORRES,Money and Credit,lag
NONBORRES__lag12,NONBORRES,Money and Credit,lag
BUSLOANS__lag1,BUSLOANS,Money and Credit,lag
BUSLOANS__lag3,BUSLOANS,Money and Credit,lag
BUSLOANS__lag6,BUSLOANS,Money and Credit,lag
BUSLOANS__lag9,BUSLOANS,Money and Credit,lag
BUSLOANS__lag12,BUSLOANS,Money and Credit,lag
REALLN__lag1,REALLN,Money and Credit,lag
REALLN__lag3,REALLN,Money and Credit,lag
REALLN__lag6,REALLN,Money and Credit,lag
REALLN__lag9,REALLN,Money and Credit,lag
REALLN__lag12,REALLN,Money and Credit,lag
NONREVSL__lag1,NONREVSL,Money and Credit,lag
NONREVSL__lag3,NONREVSL,Money and Credit,lag
NONREVSL__lag6,NONREVSL,Money and Credit,lag
NONREVSL__lag9,NONREVSL,Money and Credit,lag
NONREVSL__lag12,NONREVSL,Money and Credit,lag
DTCOLNVHFNM__lag1,DTCOLNVHFNM,Money and Credit,lag
DTCOLNVHFNM__lag3,DTCOLNVHFNM,Money and Credit,lag
DTCOLNVHFNM__lag6,DTCOLNVHFNM,Money and Credit,lag
DTCOLNVHFNM__lag9,DTCOLNVHFNM,Money and Credit,lag
DTCOLNVHFNM__lag12,DTCOLNVHFNM,Money and Credit,lag
DTCTHFNM__lag1,DTCTHFNM,Money and Credit,lag
DTCTHFNM__lag3,DTCTHFNM,Money and Credit,lag
DTCTHFNM__lag6,DTCTHFNM,Money and Credit,lag
DTCTHFNM__lag9,DTCTHFNM,Money and Credit,lag
DTCTHFNM__lag12,DTCTHFNM,Money and Credit,lag
INVEST__lag1,INVEST,Money and Credit,lag
INVEST__lag3,INVEST,Money and Credit,lag
INVEST__lag6,INVEST,Money and Credit,lag
INVEST__lag9,INVEST,Money and Credit,lag
INVEST__lag12,INVEST,Money and Credit,lag
FEDFUNDS__lag1,FEDFUNDS,Interest and Exchange Rates,lag
FEDFUNDS__lag3,FEDFUNDS,Interest and Exchange Rates,lag
FEDFUNDS__lag6,FEDFUNDS,Interest and Exchange Rates,lag
FEDFUNDS__lag9,FEDFUNDS,Interest and Exchange Rates,lag
FEDFUNDS__lag12,FEDFUNDS,Interest and Exchange Rates,lag
TB3MS__lag1,TB3MS,Interest and Exchange Rates,lag
TB3MS__lag3,TB3MS,Interest and Exchange Rates,lag
TB3MS__lag6,TB3MS,Interest and Exchange Rates,lag
TB3MS__lag9,TB3MS,Interest and Exchange Rates,lag
TB3MS__lag12,TB3MS,Interest and Exchange Rates,lag
TB6MS__lag1,TB6MS,Interest and Exchange Rates,lag
TB6MS__lag3,TB6MS,Interest and Exchange Rates,lag
TB6MS__lag6,TB6MS,Interest and Exchange Rates,lag
TB6MS__lag9,TB6MS,Interest and Exchange Rates,lag
TB6MS__lag12,TB6MS,Interest and Exchange Rates,lag
GS1__lag1,GS1,Interest and Exchange Rates,lag
GS1__lag3,GS1,Interest and Exchange Rates,lag
GS1__lag6,GS1,Interest and Exchange Rates,lag
GS1__lag9,GS1,Interest and Exchange Rates,lag
GS1__lag12,GS1,Interest and Exchange Rates,lag
GS5__lag1,GS5,Interest and Exchange Rates,lag
GS5__lag3,GS5,Interest and Exchange Rates,lag
GS5__lag6,GS5,Interest and Exchange Rates,lag
GS5__lag9,GS5,Interest and Exchange Rates,lag
GS5__lag12,GS5,Interest and Exchange Rates,lag
GS10__lag1,GS10,Interest and Exchange Rates,lag
GS10__lag3,GS10,Interest and Exchange Rates,lag
GS10__lag6,GS10,Interest and Exchange Rates,lag
GS10__lag9,GS10,Interest and Exchange Rates,lag
GS10__lag12,GS10,Interest and Exchange Rates,lag
AAA__lag1,AAA,Interest and Exchange Rates,lag
AAA__lag3,AAA,Interest and Exchange Rates,lag
AAA__lag6,AAA,Interest and Exchange Rates,lag
AAA__lag9,AAA,Interest and Exchange Rates,lag
AAA__lag12,AAA,Interest and Exchange Rates,lag
BAA__lag1,BAA,Interest and Exchange Rates,lag
BAA__lag3,BAA,Interest and Exchange Rates,lag
BAA__lag6,BAA,Interest and Exchange Rates,lag
BAA__lag9,BAA,Interest and Exchange Rates,lag
BAA__lag12,BAA,Interest and Exchange Rates,lag
WPSFD49207__lag1,WPSFD49207,Prices,lag
WPSFD49207__lag3,WPSFD49207,Prices,lag
WPSFD49207__lag6,WPSFD49207,Prices,lag
WPSFD49207__lag9,WPSFD49207,Prices,lag
WPSFD49207__lag12,WPSFD49207,Prices,lag
WPSFD49502__lag1,WPSFD49502,Prices,lag
WPSFD49502__lag3,WPSFD49502,Prices,lag
WPSFD49502__lag6,WPSFD49502,Prices,lag
WPSFD49502__lag9,WPSFD49502,Prices,lag
WPSFD49502__lag12,WPSFD49502,Prices,lag
WPSID61__lag1,WPSID61,Prices,lag
WPSID61__lag3,WPSID61,Prices,lag
WPSID61__lag6,WPSID61,Prices,lag
WPSID61__lag9,WPSID61,Prices,lag
WPSID61__lag12,WPSID61,Prices,lag
WPSID62__lag1,WPSID62,Prices,lag
WPSID62__lag3,WPSID62,Prices,lag
WPSID62__lag6,WPSID62,Prices,lag
WPSID62__lag9,WPSID62,Prices,lag
WPSID62__lag12,WPSID62,Prices,lag
OILPRICEx__lag1,OILPRICEx,Prices,lag
OILPRICEx__lag3,OILPRICEx,Prices,lag
OILPRICEx__lag6,OILPRICEx,Prices,lag
OILPRICEx__lag9,OILPRICEx,Prices,lag
OILPRICEx__lag12,OILPRICEx,Prices,lag
PPICMM__lag1,PPICMM,Prices,lag
PPICMM__lag3,PPICMM,Prices,lag
PPICMM__lag6,PPICMM,Prices,lag
PPICMM__lag9,PPICMM,Prices,lag
PPICMM__lag12,PPICMM,Prices,lag
CPIAUCSL__lag1,CPIAUCSL,Prices,lag
CPIAUCSL__lag3,CPIAUCSL,Prices,lag
CPIAUCSL__lag6,CPIAUCSL,Prices,lag
CPIAUCSL__lag9,CPIAUCSL,Prices,lag
CPIAUCSL__lag12,CPIAUCSL,Prices,lag
CPIAPPSL__lag1,CPIAPPSL,Prices,lag
CPIAPPSL__lag3,CPIAPPSL,Prices,lag
CPIAPPSL__lag6,CPIAPPSL,Prices,lag
CPIAPPSL__lag9,CPIAPPSL,Prices,lag
CPIAPPSL__lag12,CPIAPPSL,Prices,lag
CPITRNSL__lag1,CPITRNSL,Prices,lag
CPITRNSL__lag3,CPITRNSL,Prices,lag
CPITRNSL__lag6,CPITRNSL,Prices,lag
CPITRNSL__lag9,CPITRNSL,Prices,lag
CPITRNSL__lag12,CPITRNSL,Prices,lag
CPIMEDSL__lag1,CPIMEDSL,Prices,lag
CPIMEDSL__lag3,CPIMEDSL,Prices,lag
CPIMEDSL__lag6,CPIMEDSL,Prices,lag
CPIMEDSL__lag9,CPIMEDSL,Prices,lag
CPIMEDSL__lag12,CPIMEDSL,Prices,lag
CUSR0000SAC__lag1,CUSR0000SAC,Prices,lag
CUSR0000SAC__lag3,CUSR0000SAC,Prices,lag
CUSR0000SAC__lag6,CUSR0000SAC,Prices,lag
CUSR0000SAC__lag9,CUSR0000SAC,Prices,lag
CUSR0000SAC__lag12,CUSR0000SAC,Prices,lag
CUUR0000SAD__lag1,CUUR0000SAD,Prices,lag
CUUR0000SAD__lag3,CUUR0000SAD,Prices,lag
CUUR0000SAD__lag6,CUUR0000SAD,Prices,lag
CUUR0000SAD__lag9,CUUR0000SAD,Prices,lag
CUUR0000SAD__lag12,CUUR0000SAD,Prices,lag
CUSR0000SAS__lag1,CUSR0000SAS,Prices,lag
CUSR0000SAS__lag3,CUSR0000SAS,Prices,lag
CUSR0000SAS__lag6,CUSR0000SAS,Prices,lag
CUSR0000SAS__lag9,CUSR0000SAS,Prices,lag
CUSR0000SAS__lag12,CUSR0000SAS,Prices,lag
CPIULFSL__lag1,CPIULFSL,Prices,lag
CPIULFSL__lag3,CPIULFSL,Prices,lag
CPIULFSL__lag6,CPIULFSL,Prices,lag
CPIULFSL__lag9,CPIULFSL,Prices,lag
CPIULFSL__lag12,CPIULFSL,Prices,lag
CUUR0000SA0L2__lag1,CUUR0000SA0L2,Prices,lag
CUUR0000SA0L2__lag3,CUUR0000SA0L2,Prices,lag
CUUR0000SA0L2__lag6,CUUR0000SA0L2,Prices,lag
CUUR0000SA0L2__lag9,CUUR0000SA0L2,Prices,lag
CUUR0000SA0L2__lag12,CUUR0000SA0L2,Prices,lag
CUSR0000SA0L5__lag1,CUSR0000SA0L5,Prices,lag
CUSR0000SA0L5__lag3,CUSR0000SA0L5,Prices,lag
CUSR0000SA0L5__lag6,CUSR0000SA0L5,Prices,lag
CUSR0000SA0L5__lag9,CUSR0000SA0L5,Prices,lag
CUSR0000SA0L5__lag12,CUSR0000SA0L5,Prices,lag
PCEPI__lag1,PCEPI,Prices,lag
PCEPI__lag3,PCEPI,Prices,lag
PCEPI__lag6,PCEPI,Prices,lag
PCEPI__lag9,PCEPI,Prices,lag
PCEPI__lag12,PCEPI,Prices,lag
DDURRG3M086SBEA__lag1,DDURRG3M086SBEA,Prices,lag
DDURRG3M086SBEA__lag3,DDURRG3M086SBEA,Prices,lag
DDURRG3M086SBEA__lag6,DDURRG3M086SBEA,Prices,lag
DDURRG3M086SBEA__lag9,DDURRG3M086SBEA,Prices,lag
DDURRG3M086SBEA__lag12,DDURRG3M086SBEA,Prices,lag
DNDGRG3M086SBEA__lag1,DNDGRG3M086SBEA,Prices,lag
DNDGRG3M086SBEA__lag3,DNDGRG3M086SBEA,Prices,lag
DNDGRG3M086SBEA__lag6,DNDGRG3M086SBEA,Prices,lag
DNDGRG3M086SBEA__lag9,DNDGRG3M086SBEA,Prices,lag
DNDGRG3M086SBEA__lag12,DNDGRG3M086SBEA,Prices,lag
DSERRG3M086SBEA__lag1,DSERRG3M086SBEA,Prices,lag
DSERRG3M086SBEA__lag3,DSERRG3M086SBEA,Prices,lag
DSERRG3M086SBEA__lag6,DSERRG3M086SBEA,Prices,lag
DSERRG3M086SBEA__lag9,DSERRG3M086SBEA,Prices,lag
DSERRG3M086SBEA__lag12,DSERRG3M086SBEA,Prices,lag
CES0600000008__lag1,CES0600000008,Prices,lag
CES0600000008__lag3,CES0600000008,Prices,lag
CES0600000008__lag6,CES0600000008,Prices,lag
CES0600000008__lag9,CES0600000008,Prices,lag
CES0600000008__lag12,CES0600000008,Prices,lag
CES2000000008__lag1,CES2000000008,Prices,lag
CES2000000008__lag3,CES2000000008,Prices,lag
CES2000000008__lag6,CES2000000008,Prices,lag
CES2000000008__lag9,CES2000000008,Prices,lag
CES2000000008__lag12,CES2000000008,Prices,lag
CES3000000008__lag1,CES3000000008,Prices,lag
CES3000000008__lag3,CES3000000008,Prices,lag
CES3000000008__lag6,CES3000000008,Prices,lag
CES3000000008__lag9,CES3000000008,Prices,lag
CES3000000008__lag12,CES3000000008,Prices,lag
CONSPI__lag1,CONSPI,Money and Credit,lag
CONSPI__lag3,CONSPI,Money and Credit,lag
CONSPI__lag6,CONSPI,Money and Credit,lag
CONSPI__lag9,CONSPI,Money and Credit,lag
CONSPI__lag12,CONSPI,Money and Credit,lag
TB3SMFFM__lag1,TB3SMFFM,Interest and Exchange Rates,lag
TB3SMFFM__lag3,TB3SMFFM,Interest and Exchange Rates,lag
TB3SMFFM__lag6,TB3SMFFM,Interest and Exchange Rates,lag
TB3SMFFM__lag9,TB3SMFFM,Interest and Exchange Rates,lag
TB3SMFFM__lag12,TB3SMFFM,Interest and Exchange Rates,lag
TB6SMFFM__lag1,TB6SMFFM,Interest and Exchange Rates,lag
TB6SMFFM__lag3,TB6SMFFM,Interest and Exchange Rates,lag
TB6SMFFM__lag6,TB6SMFFM,Interest and Exchange Rates,lag
TB6SMFFM__lag9,TB6SMFFM,Interest and Exchange Rates,lag
TB6SMFFM__lag12,TB6SMFFM,Interest and Exchange Rates,lag
T1YFFM__lag1,T1YFFM,Interest and Exchange Rates,lag
T1YFFM__lag3,T1YFFM,Interest and Exchange Rates,lag
T1YFFM__lag6,T1YFFM,Interest and Exchange Rates,lag
T1YFFM__lag9,T1YFFM,Interest and Exchange Rates,lag
T1YFFM__lag12,T1YFFM,Interest and Exchange Rates,lag
T5YFFM__lag1,T5YFFM,Interest and Exchange Rates,lag
T5YFFM__lag3,T5YFFM,Interest and Exchange Rates,lag
T5YFFM__lag6,T5YFFM,Interest and Exchange Rates,lag
T5YFFM__lag9,T5YFFM,Interest and Exchange Rates,lag
T5YFFM__lag12,T5YFFM,Interest and Exchange Rates,lag
T10YFFM__lag1,T10YFFM,Interest and Exchange Rates,lag
T10YFFM__lag3,T10YFFM,Interest and Exchange Rates,lag
T10YFFM__lag6,T10YFFM,Interest and Exchange Rates,lag
T10YFFM__lag9,T10YFFM,Interest and Exchange Rates,lag
T10YFFM__lag12,T10YFFM,Interest and Exchange Rates,lag
AAAFFM__lag1,AAAFFM,Interest and Exchange Rates,lag
AAAFFM__lag3,AAAFFM,Interest and Exchange Rates,lag
AAAFFM__lag6,AAAFFM,Interest and Exchange Rates,lag
AAAFFM__lag9,AAAFFM,Interest and Exchange Rates,lag
AAAFFM__lag12,AAAFFM,Interest and Exchange Rates,lag
BAAFFM__lag1,BAAFFM,Interest and Exchange Rates,lag
BAAFFM__lag3,BAAFFM,Interest and Exchange Rates,lag
BAAFFM__lag6,BAAFFM,Interest and Exchange Rates,lag
BAAFFM__lag9,BAAFFM,Interest and Exchange Rates,lag
BAAFFM__lag12,BAAFFM,Interest and Exchange Rates,lag
SP500__lag1,SP500,Stock Market,lag
SP500__lag3,SP500,Stock Market,lag
SP500__lag6,SP500,Stock Market,lag
SP500__lag9,SP500,Stock Market,lag
SP500__lag12,SP500,Stock Market,lag
TERM_SPREAD_10Y3M,TERM_SPREAD_10Y3M,Interest and Exchange Rates,spread
TERM_SPREAD_10YFF,TERM_SPREAD_10YFF,Interest and Exchange Rates,spread
CREDIT_SPREAD_BAA_AAA,CREDIT_SPREAD_BAA_AAA,Interest and Exchange Rates,spread
CREDIT_SPREAD_BAA_10Y,CREDIT_SPREAD_BAA_10Y,Interest and Exchange Rates,spread
FF_TBILL_SPREAD,FF_TBILL_SPREAD,Interest and Exchange Rates,spread
RPI__mom3,RPI,Output and Income,momentum
RPI__mom6,RPI,Output and Income,momentum
RPI__mom12,RPI,Output and Income,momentum
W875RX1__mom3,W875RX1,Output and Income,momentum
W875RX1__mom6,W875RX1,Output and Income,momentum
W875RX1__mom12,W875RX1,Output and Income,momentum
INDPRO__mom3,INDPRO,Output and Income,momentum
INDPRO__mom6,INDPRO,Output and Income,momentum
INDPRO__mom12,INDPRO,Output and Income,momentum
IPFPNSS__mom3,IPFPNSS,Output and Income,momentum
IPFPNSS__mom6,IPFPNSS,Output and Income,momentum
IPFPNSS__mom12,IPFPNSS,Output and Income,momentum
IPFINAL__mom3,IPFINAL,Output and Income,momentum
IPFINAL__mom6,IPFINAL,Output and Income,momentum
IPFINAL__mom12,IPFINAL,Output and Income,momentum
IPCONGD__mom3,IPCONGD,Output and Income,momentum
IPCONGD__mom6,IPCONGD,Output and Income,momentum
IPCONGD__mom12,IPCONGD,Output and Income,momentum
IPDCONGD__mom3,IPDCONGD,Output and Income,momentum
IPDCONGD__mom6,IPDCONGD,Output and Income,momentum
IPDCONGD__mom12,IPDCONGD,Output and Income,momentum
IPNCONGD__mom3,IPNCONGD,Output and Income,momentum
IPNCONGD__mom6,IPNCONGD,Output and Income,momentum
IPNCONGD__mom12,IPNCONGD,Output and Income,momentum
IPBUSEQ__mom3,IPBUSEQ,Output and Income,momentum
IPBUSEQ__mom6,IPBUSEQ,Output and Income,momentum
IPBUSEQ__mom12,IPBUSEQ,Output and Income,momentum
IPMAT__mom3,IPMAT,Output and Income,momentum
IPMAT__mom6,IPMAT,Output and Income,momentum
IPMAT__mom12,IPMAT,Output and Income,momentum
IPDMAT__mom3,IPDMAT,Output and Income,momentum
IPDMAT__mom6,IPDMAT,Output and Income,momentum
IPDMAT__mom12,IPDMAT,Output and Income,momentum
IPNMAT__mom3,IPNMAT,Output and Income,momentum
IPNMAT__mom6,IPNMAT,Output and Income,momentum
IPNMAT__mom12,IPNMAT,Output and Income,momentum
IPMANSICS__mom3,IPMANSICS,Output and Income,momentum
IPMANSICS__mom6,IPMANSICS,Output and Income,momentum
IPMANSICS__mom12,IPMANSICS,Output and Income,momentum
IPB51222S__mom3,IPB51222S,Output and Income,momentum
IPB51222S__mom6,IPB51222S,Output and Income,momentum
IPB51222S__mom12,IPB51222S,Output and Income,momentum
IPFUELS__mom3,IPFUELS,Output and Income,momentum
IPFUELS__mom6,IPFUELS,Output and Income,momentum
IPFUELS__mom12,IPFUELS,Output and Income,momentum
CUMFNS__mom3,CUMFNS,Output and Income,momentum
CUMFNS__mom6,CUMFNS,Output and Income,momentum
CUMFNS__mom12,CUMFNS,Output and Income,momentum
CLF16OV__mom3,CLF16OV,Labor Market,momentum
CLF16OV__mom6,CLF16OV,Labor Market,momentum
CLF16OV__mom12,CLF16OV,Labor Market,momentum
CE16OV__mom3,CE16OV,Labor Market,momentum
CE16OV__mom6,CE16OV,Labor Market,momentum
CE16OV__mom12,CE16OV,Labor Market,momentum
UNRATE__mom3,UNRATE,Labor Market,momentum
UNRATE__mom6,UNRATE,Labor Market,momentum
UNRATE__mom12,UNRATE,Labor Market,momentum
UEMPMEAN__mom3,UEMPMEAN,Labor Market,momentum
UEMPMEAN__mom6,UEMPMEAN,Labor Market,momentum
UEMPMEAN__mom12,UEMPMEAN,Labor Market,momentum
UEMPLT5__mom3,UEMPLT5,Labor Market,momentum
UEMPLT5__mom6,UEMPLT5,Labor Market,momentum
UEMPLT5__mom12,UEMPLT5,Labor Market,momentum
UEMP5TO14__mom3,UEMP5TO14,Labor Market,momentum
UEMP5TO14__mom6,UEMP5TO14,Labor Market,momentum
UEMP5TO14__mom12,UEMP5TO14,Labor Market,momentum
UEMP15OV__mom3,UEMP15OV,Labor Market,momentum
UEMP15OV__mom6,UEMP15OV,Labor Market,momentum
UEMP15OV__mom12,UEMP15OV,Labor Market,momentum
UEMP15T26__mom3,UEMP15T26,Labor Market,momentum
UEMP15T26__mom6,UEMP15T26,Labor Market,momentum
UEMP15T26__mom12,UEMP15T26,Labor Market,momentum
UEMP27OV__mom3,UEMP27OV,Labor Market,momentum
UEMP27OV__mom6,UEMP27OV,Labor Market,momentum
UEMP27OV__mom12,UEMP27OV,Labor Market,momentum
PAYEMS__mom3,PAYEMS,Labor Market,momentum
PAYEMS__mom6,PAYEMS,Labor Market,momentum
PAYEMS__mom12,PAYEMS,Labor Market,momentum
USGOOD__mom3,USGOOD,Labor Market,momentum
USGOOD__mom6,USGOOD,Labor Market,momentum
USGOOD__mom12,USGOOD,Labor Market,momentum
CES1021000001__mom3,CES1021000001,Labor Market,momentum
CES1021000001__mom6,CES1021000001,Labor Market,momentum
CES1021000001__mom12,CES1021000001,Labor Market,momentum
USCONS__mom3,USCONS,Labor Market,momentum
USCONS__mom6,USCONS,Labor Market,momentum
USCONS__mom12,USCONS,Labor Market,momentum
MANEMP__mom3,MANEMP,Labor Market,momentum
MANEMP__mom6,MANEMP,Labor Market,momentum
MANEMP__mom12,MANEMP,Labor Market,momentum
DMANEMP__mom3,DMANEMP,Labor Market,momentum
DMANEMP__mom6,DMANEMP,Labor Market,momentum
DMANEMP__mom12,DMANEMP,Labor Market,momentum
NDMANEMP__mom3,NDMANEMP,Labor Market,momentum
NDMANEMP__mom6,NDMANEMP,Labor Market,momentum
NDMANEMP__mom12,NDMANEMP,Labor Market,momentum
SRVPRD__mom3,SRVPRD,Labor Market,momentum
SRVPRD__mom6,SRVPRD,Labor Market,momentum
SRVPRD__mom12,SRVPRD,Labor Market,momentum
USTPU__mom3,USTPU,Labor Market,momentum
USTPU__mom6,USTPU,Labor Market,momentum
USTPU__mom12,USTPU,Labor Market,momentum
USWTRADE__mom3,USWTRADE,Labor Market,momentum
USWTRADE__mom6,USWTRADE,Labor Market,momentum
USWTRADE__mom12,USWTRADE,Labor Market,momentum
USTRADE__mom3,USTRADE,Labor Market,momentum
USTRADE__mom6,USTRADE,Labor Market,momentum
USTRADE__mom12,USTRADE,Labor Market,momentum
USFIRE__mom3,USFIRE,Labor Market,momentum
USFIRE__mom6,USFIRE,Labor Market,momentum
USFIRE__mom12,USFIRE,Labor Market,momentum
USGOVT__mom3,USGOVT,Labor Market,momentum
USGOVT__mom6,USGOVT,Labor Market,momentum
USGOVT__mom12,USGOVT,Labor Market,momentum
CES0600000007__mom3,CES0600000007,Labor Market,momentum
CES0600000007__mom6,CES0600000007,Labor Market,momentum
CES0600000007__mom12,CES0600000007,Labor Market,momentum
AWOTMAN__mom3,AWOTMAN,Labor Market,momentum
AWOTMAN__mom6,AWOTMAN,Labor Market,momentum
AWOTMAN__mom12,AWOTMAN,Labor Market,momentum
AWHMAN__mom3,AWHMAN,Labor Market,momentum
AWHMAN__mom6,AWHMAN,Labor Market,momentum
AWHMAN__mom12,AWHMAN,Labor Market,momentum
HOUST__mom3,HOUST,Housing,momentum
HOUST__mom6,HOUST,Housing,momentum
HOUST__mom12,HOUST,Housing,momentum
HOUSTNE__mom3,HOUSTNE,Housing,momentum
HOUSTNE__mom6,HOUSTNE,Housing,momentum
HOUSTNE__mom12,HOUSTNE,Housing,momentum
HOUSTMW__mom3,HOUSTMW,Housing,momentum
HOUSTMW__mom6,HOUSTMW,Housing,momentum
HOUSTMW__mom12,HOUSTMW,Housing,momentum
HOUSTS__mom3,HOUSTS,Housing,momentum
HOUSTS__mom6,HOUSTS,Housing,momentum
HOUSTS__mom12,HOUSTS,Housing,momentum
HOUSTW__mom3,HOUSTW,Housing,momentum
HOUSTW__mom6,HOUSTW,Housing,momentum
HOUSTW__mom12,HOUSTW,Housing,momentum
PERMIT__mom3,PERMIT,Housing,momentum
PERMIT__mom6,PERMIT,Housing,momentum
PERMIT__mom12,PERMIT,Housing,momentum
PERMITNE__mom3,PERMITNE,Housing,momentum
PERMITNE__mom6,PERMITNE,Housing,momentum
PERMITNE__mom12,PERMITNE,Housing,momentum
PERMITMW__mom3,PERMITMW,Housing,momentum
PERMITMW__mom6,PERMITMW,Housing,momentum
PERMITMW__mom12,PERMITMW,Housing,momentum
PERMITS__mom3,PERMITS,Housing,momentum
PERMITS__mom6,PERMITS,Housing,momentum
PERMITS__mom12,PERMITS,Housing,momentum
PERMITW__mom3,PERMITW,Housing,momentum
PERMITW__mom6,PERMITW,Housing,momentum
PERMITW__mom12,PERMITW,Housing,momentum
DPCERA3M086SBEA__mom3,DPCERA3M086SBEA,"Consumption, Orders and Inventories",momentum
DPCERA3M086SBEA__mom6,DPCERA3M086SBEA,"Consumption, Orders and Inventories",momentum
DPCERA3M086SBEA__mom12,DPCERA3M086SBEA,"Consumption, Orders and Inventories",momentum
M1SL__mom3,M1SL,Money and Credit,momentum
M1SL__mom6,M1SL,Money and Credit,momentum
M1SL__mom12,M1SL,Money and Credit,momentum
M2SL__mom3,M2SL,Money and Credit,momentum
M2SL__mom6,M2SL,Money and Credit,momentum
M2SL__mom12,M2SL,Money and Credit,momentum
M2REAL__mom3,M2REAL,Money and Credit,momentum
M2REAL__mom6,M2REAL,Money and Credit,momentum
M2REAL__mom12,M2REAL,Money and Credit,momentum
TOTRESNS__mom3,TOTRESNS,Money and Credit,momentum
TOTRESNS__mom6,TOTRESNS,Money and Credit,momentum
TOTRESNS__mom12,TOTRESNS,Money and Credit,momentum
NONBORRES__mom3,NONBORRES,Money and Credit,momentum
NONBORRES__mom6,NONBORRES,Money and Credit,momentum
NONBORRES__mom12,NONBORRES,Money and Credit,momentum
BUSLOANS__mom3,BUSLOANS,Money and Credit,momentum
BUSLOANS__mom6,BUSLOANS,Money and Credit,momentum
BUSLOANS__mom12,BUSLOANS,Money and Credit,momentum
REALLN__mom3,REALLN,Money and Credit,momentum
REALLN__mom6,REALLN,Money and Credit,momentum
REALLN__mom12,REALLN,Money and Credit,momentum
NONREVSL__mom3,NONREVSL,Money and Credit,momentum
NONREVSL__mom6,NONREVSL,Money and Credit,momentum
NONREVSL__mom12,NONREVSL,Money and Credit,momentum
DTCOLNVHFNM__mom3,DTCOLNVHFNM,Money and Credit,momentum
DTCOLNVHFNM__mom6,DTCOLNVHFNM,Money and Credit,momentum
DTCOLNVHFNM__mom12,DTCOLNVHFNM,Money and Credit,momentum
DTCTHFNM__mom3,DTCTHFNM,Money and Credit,momentum
DTCTHFNM__mom6,DTCTHFNM,Money and Credit,momentum
DTCTHFNM__mom12,DTCTHFNM,Money and Credit,momentum
INVEST__mom3,INVEST,Money and Credit,momentum
INVEST__mom6,INVEST,Money and Credit,momentum
INVEST__mom12,INVEST,Money and Credit,momentum
FEDFUNDS__mom3,FEDFUNDS,Interest and Exchange Rates,momentum
FEDFUNDS__mom6,FEDFUNDS,Interest and Exchange Rates,momentum
FEDFUNDS__mom12,FEDFUNDS,Interest and Exchange Rates,momentum
TB3MS__mom3,TB3MS,Interest and Exchange Rates,momentum
TB3MS__mom6,TB3MS,Interest and Exchange Rates,momentum
TB3MS__mom12,TB3MS,Interest and Exchange Rates,momentum
TB6MS__mom3,TB6MS,Interest and Exchange Rates,momentum
TB6MS__mom6,TB6MS,Interest and Exchange Rates,momentum
TB6MS__mom12,TB6MS,Interest and Exchange Rates,momentum
GS1__mom3,GS1,Interest and Exchange Rates,momentum
GS1__mom6,GS1,Interest and Exchange Rates,momentum
GS1__mom12,GS1,Interest and Exchange Rates,momentum
GS5__mom3,GS5,Interest and Exchange Rates,momentum
GS5__mom6,GS5,Interest and Exchange Rates,momentum
GS5__mom12,GS5,Interest and Exchange Rates,momentum
GS10__mom3,GS10,Interest and Exchange Rates,momentum
GS10__mom6,GS10,Interest and Exchange Rates,momentum
GS10__mom12,GS10,Interest and Exchange Rates,momentum
AAA__mom3,AAA,Interest and Exchange Rates,momentum
AAA__mom6,AAA,Interest and Exchange Rates,momentum
AAA__mom12,AAA,Interest and Exchange Rates,momentum
BAA__mom3,BAA,Interest and Exchange Rates,momentum
BAA__mom6,BAA,Interest and Exchange Rates,momentum
BAA__mom12,BAA,Interest and Exchange Rates,momentum
WPSFD49207__mom3,WPSFD49207,Prices,momentum
WPSFD49207__mom6,WPSFD49207,Prices,momentum
WPSFD49207__mom12,WPSFD49207,Prices,momentum
