Feature,Importance,source_series,group,feat_type
USGOVT__base,0.00015346253,USGOVT,Labor Market,base
GS1__rollstd24,0.00015295364,GS1,Interest and Exchange Rates,rolling_stat
W875RX1__mom6,0.00015181712,W875RX1,Output and Income,momentum
T5YFFM__rollstd24,0.00015142644,T5YFFM,Interest and Exchange Rates,rolling_stat
IPBUSEQ__rollz6,0.00015001933,IPBUSEQ,Output and Income,rolling_stat
M2REAL__lag9,0.00014963116,M2REAL,Money and Credit,lag
USWTRADE__lag1,0.00014946313,USWTRADE,Labor Market,lag
PERMITMW__lag9,0.00014806828,PERMITMW,Housing,lag
CE16OV__rollz12,0.00014750825,CE16OV,Labor Market,rolling_stat
SRVPRD__rollstd6,0.00014695377,SRVPRD,Labor Market,rolling_stat
USFIRE__lag1,0.00014657737,USFIRE,Labor Market,lag
USWTRADE__lag6,0.00014604385,USWTRADE,Labor Market,lag
HOUSTW__rollmean24,0.00014599266,HOUSTW,Housing,rolling_stat
PPICMM__rollstd24,0.00014562848,PPICMM,Prices,rolling_stat
UEMPMEAN__base,0.00014407773,UEMPMEAN,Labor Market,base
INDPRO__rollz6,0.00014394536,INDPRO,Output and Income,rolling_stat
CES0600000007__lag1,0.00014330437,CES0600000007,Labor Market,lag
IPDCONGD__rollmean24,0.00014319176,IPDCONGD,Output and Income,rolling_stat
AAAFFM__rollstd6,0.000140205,AAAFFM,Interest and Exchange Rates,rolling_stat
M1SL__mom6,0.00014016785,M1SL,Money and Credit,momentum
CLF16OV__lag9,0.00013881394,CLF16OV,Labor Market,lag
RPI__rollz24,0.00013814535,RPI,Output and Income,rolling_stat
IPBUSEQ__lag9,0.0001378797,IPBUSEQ,Output and Income,lag
CES2000000008__mom12,0.00013763692,CES2000000008,Prices,momentum
PERMITS__rollmean12,0.00013706746,PERMITS,Housing,rolling_stat
T10YFFM__rollstd12,0.000136999,T10YFFM,Interest and Exchange Rates,rolling_stat
HOUSTMW__mom6,0.00013674566,HOUSTMW,Housing,momentum
PERMITS__lag3,0.00013647717,PERMITS,Housing,lag
PPICMM__mom6,0.00013641841,PPICMM,Prices,momentum
WPSFD49207__rollmean12,0.00013603526,WPSFD49207,Prices,rolling_stat
IPDMAT__lag12,0.00013558804,IPDMAT,Output and Income,lag
DPCERA3M086SBEA__lag1,0.00013400492,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
NONREVSL__base,0.00013343338,NONREVSL,Money and Credit,base
RPI__lag9,0.000131152,RPI,Output and Income,lag
W875RX1__lag9,0.0001307556,W875RX1,Output and Income,lag
IPNMAT__base,0.00013054813,IPNMAT,Output and Income,base
CUUR0000SAD__rollmean24,0.00013038355,CUUR0000SAD,Prices,rolling_stat
IPFUELS__lag12,0.0001298633,IPFUELS,Output and Income,lag
CES3000000008__mom12,0.00012981988,CES3000000008,Prices,momentum
NDMANEMP__rollz6,0.00012979726,NDMANEMP,Labor Market,rolling_stat
RPI__rollstd6,0.00012932846,RPI,Output and Income,rolling_stat
USFIRE__lag6,0.00012904342,USFIRE,Labor Market,lag
WPSID61__rollstd6,0.00012854468,WPSID61,Prices,rolling_stat
CPIAPPSL__mom6,0.00012840518,CPIAPPSL,Prices,momentum
AAAFFM__rollstd12,0.00012791215,AAAFFM,Interest and Exchange Rates,rolling_stat
IPFPNSS__rollz6,0.00012704566,IPFPNSS,Output and Income,rolling_stat
WPSID62__mom12,0.00012681945,WPSID62,Prices,momentum
BAA__base,0.00012656486,BAA,Interest and Exchange Rates,base
UEMPLT5__lag1,0.00012525238,UEMPLT5,Labor Market,lag
NDMANEMP__rollstd6,0.00012431509,NDMANEMP,Labor Market,rolling_stat
MANEMP__lag12,0.00012372999,MANEMP,Labor Market,lag
UEMP15OV__mom12,0.00012331166,UEMP15OV,Labor Market,momentum
GS10__rollstd12,0.00012302812,GS10,Interest and Exchange Rates,rolling_stat
IPDCONGD__mom3,0.00012266292,IPDCONGD,Output and Income,momentum
UEMP27OV__mom6,0.00012118558,UEMP27OV,Labor Market,momentum
CPITRNSL__rollstd24,0.00012112831,CPITRNSL,Prices,rolling_stat
HOUST__rollmean6,0.000120812365,HOUST,Housing,rolling_stat
CUUR0000SAD__rollmean6,0.00012000045,CUUR0000SAD,Prices,rolling_stat
IPB51222S__rollstd12,0.00011961498,IPB51222S,Output and Income,rolling_stat
CES0600000008__lag6,0.00011952946,CES0600000008,Prices,lag
USGOOD__rollstd12,0.00011820426,USGOOD,Labor Market,rolling_stat
AAA__rollmean24,0.0001177047,AAA,Interest and Exchange Rates,rolling_stat
IPBUSEQ__lag3,0.00011737316,IPBUSEQ,Output and Income,lag
IPNCONGD__lag3,0.000117100775,IPNCONGD,Output and Income,lag
PERMITMW__rollz6,0.00011678352,PERMITMW,Housing,rolling_stat
BAA__lag9,0.00011667174,BAA,Interest and Exchange Rates,lag
AAA__mom12,0.000116058865,AAA,Interest and Exchange Rates,momentum
CES0600000008__mom3,0.00011543183,CES0600000008,Prices,momentum
UNRATE__rollz12,0.00011515868,UNRATE,Labor Market,rolling_stat
BUSLOANS__mom3,0.00011514607,BUSLOANS,Money and Credit,momentum
MANEMP__rollstd12,0.00011491009,MANEMP,Labor Market,rolling_stat
IPDCONGD__lag1,0.00011481195,IPDCONGD,Output and Income,lag
IPDCONGD__rollz6,0.00011423822,IPDCONGD,Output and Income,rolling_stat
USWTRADE__rollz12,0.00011383514,USWTRADE,Labor Market,rolling_stat
UEMP15OV__rollstd24,0.00011339578,UEMP15OV,Labor Market,rolling_stat
CLF16OV__rollstd24,0.000113363436,CLF16OV,Labor Market,rolling_stat
IPDCONGD__lag12,0.00011331209,IPDCONGD,Output and Income,lag
HOUSTW__rollstd24,0.00011282638,HOUSTW,Housing,rolling_stat
UEMPMEAN__lag6,0.00011269423,UEMPMEAN,Labor Market,lag
W875RX1__mom12,0.00011230352,W875RX1,Output and Income,momentum
USGOOD__lag12,0.00011217885,USGOOD,Labor Market,lag
INDPRO__rollz12,0.00011173425,INDPRO,Output and Income,rolling_stat
UEMP15OV__mom6,0.00011110713,UEMP15OV,Labor Market,momentum
INDPRO__lag3,0.00011091351,INDPRO,Output and Income,lag
USGOOD__lag3,0.00011081655,USGOOD,Labor Market,lag
PERMITNE__mom6,0.00011012888,PERMITNE,Housing,momentum
PERMITS__lag12,0.000109973524,PERMITS,Housing,lag
USCONS__base,0.00010964501,USCONS,Labor Market,base
HOUSTW__lag6,0.00010949918,HOUSTW,Housing,lag
HOUSTW__rollz12,0.00010908821,HOUSTW,Housing,rolling_stat
CUUR0000SAD__base,0.00010889307,CUUR0000SAD,Prices,base
M2REAL__lag3,0.00010746299,M2REAL,Money and Credit,lag
IPFPNSS__lag12,0.000106934676,IPFPNSS,Output and Income,lag
DDURRG3M086SBEA__base,0.00010677046,DDURRG3M086SBEA,Prices,base
CUUR0000SAD__rollstd12,0.000106609776,CUUR0000SAD,Prices,rolling_stat
WPSID62__rollmean12,0.00010640141,WPSID62,Prices,rolling_stat
CPITRNSL__mom12,0.000105832994,CPITRNSL,Prices,momentum
CLF16OV__rollz12,0.00010583061,CLF16OV,Labor Market,rolling_stat
WPSID61__mom12,0.0001049423,WPSID61,Prices,momentum
HOUSTNE__lag9,0.00010437075,HOUSTNE,Housing,lag
WPSID62__mom3,0.0001041397,WPSID62,Prices,momentum
PERMIT__lag12,0.00010383589,PERMIT,Housing,lag
IPBUSEQ__rollstd24,0.00010379944,IPBUSEQ,Output and Income,rolling_stat
UEMP15T26__lag1,0.00010339865,UEMP15T26,Labor Market,lag
FEDFUNDS__rollstd24,0.00010328034,FEDFUNDS,Interest and Exchange Rates,rolling_stat
DPCERA3M086SBEA__rollstd12,0.000102743266,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
CES0600000007__rollstd6,0.00010273918,CES0600000007,Labor Market,rolling_stat
NDMANEMP__rollz12,0.00010272545,NDMANEMP,Labor Market,rolling_stat
WPSID61__mom3,0.00010271442,WPSID61,Prices,momentum
PERMITNE__rollmean6,0.00010268835,PERMITNE,Housing,rolling_stat
USWTRADE__lag12,0.00010216348,USWTRADE,Labor Market,lag
IPCONGD__base,0.00010162855,IPCONGD,Output and Income,base
CPIAPPSL__lag3,0.00010129498,CPIAPPSL,Prices,lag
DNDGRG3M086SBEA__rollstd6,0.00010110893,DNDGRG3M086SBEA,Prices,rolling_stat
SP500__lag1,0.000101063575,SP500,Stock Market,lag
CES1021000001__mom6,0.00010100239,CES1021000001,Labor Market,momentum
UEMP15OV__mom3,0.00010070787,UEMP15OV,Labor Market,momentum
