Feature,Importance,source_series,group,feat_type
HOUSTNE__rollz6,0.00041917092,HOUSTNE,Housing,rolling_stat
BAAFFM__rollstd6,0.00041815513,BAAFFM,Interest and Exchange Rates,rolling_stat
VIX__vol6,0.00041738834,VIX__vol6,Stock Market,volatility
USFIRE__rollmean12,0.00041482906,USFIRE,Labor Market,rolling_stat
UEMPMEAN__rollmean24,0.00041229592,UEMPMEAN,Labor Market,rolling_stat
HOUSTS__rollz6,0.00041052335,HOUSTS,Housing,rolling_stat
M2SL__mom6,0.00040886246,M2SL,Money and Credit,momentum
FEDFUNDS__rollmean24,0.00040745488,FEDFUNDS,Interest and Exchange Rates,rolling_stat
W875RX1__lag9,0.00040733136,W875RX1,Output and Income,lag
HOUSTS__base,0.0004067454,HOUSTS,Housing,base
USTPU__rollz24,0.00040566787,USTPU,Labor Market,rolling_stat
IPFINAL__lag1,0.00040503696,IPFINAL,Output and Income,lag
CPIAUCSL__lag9,0.00040423538,CPIAUCSL,Prices,lag
DSERRG3M086SBEA__base,0.00040367662,DSERRG3M086SBEA,Prices,base
UEMP5TO14__mom6,0.00039945805,UEMP5TO14,Labor Market,momentum
UEMP27OV__mom3,0.00039485586,UEMP27OV,Labor Market,momentum
TERM_SPREAD_10Y3M,0.0003908913,TERM_SPREAD_10Y3M,Interest and Exchange Rates,spread
GS1__rollz6,0.0003904313,GS1,Interest and Exchange Rates,rolling_stat
TB6SMFFM__rollmean12,0.0003894111,TB6SMFFM,Interest and Exchange Rates,rolling_stat
DSERRG3M086SBEA__rollstd24,0.00038799352,DSERRG3M086SBEA,Prices,rolling_stat
PERMIT__lag12,0.00038473008,PERMIT,Housing,lag
IPFUELS__rollz24,0.00038455814,IPFUELS,Output and Income,rolling_stat
CLF16OV__lag9,0.0003798495,CLF16OV,Labor Market,lag
T1YFFM__rollz12,0.00037923674,T1YFFM,Interest and Exchange Rates,rolling_stat
TB6SMFFM__lag3,0.00037663884,TB6SMFFM,Interest and Exchange Rates,lag
GS1__lag6,0.00037555723,GS1,Interest and Exchange Rates,lag
SP500__lag9,0.00037520117,SP500,Stock Market,lag
OILPRICEx__rollmean12,0.00037464887,OILPRICEx,Prices,rolling_stat
CES2000000008__base,0.00037296908,CES2000000008,Prices,base
AWHMAN__rollmean12,0.00036978102,AWHMAN,Labor Market,rolling_stat
PERMITNE__rollstd24,0.00036884012,PERMITNE,Housing,rolling_stat
CPIAUCSL__rollmean6,0.0003684088,CPIAUCSL,Prices,rolling_stat
CUUR0000SA0L2__lag1,0.00036352186,CUUR0000SA0L2,Prices,lag
WPSID61__rollstd6,0.00036333015,WPSID61,Prices,rolling_stat
IPB51222S__mom3,0.00036307014,IPB51222S,Output and Income,momentum
WPSFD49207__rollstd24,0.00036237887,WPSFD49207,Prices,rolling_stat
CLF16OV__base,0.0003612146,CLF16OV,Labor Market,base
IPFPNSS__rollstd12,0.00035528844,IPFPNSS,Output and Income,rolling_stat
TB6MS__rollz12,0.00035047907,TB6MS,Interest and Exchange Rates,rolling_stat
IPFINAL__lag3,0.00035041143,IPFINAL,Output and Income,lag
DTCTHFNM__rollmean12,0.00034833516,DTCTHFNM,Money and Credit,rolling_stat
PERMITMW__mom6,0.0003473972,PERMITMW,Housing,momentum
HOUST__base,0.0003443033,HOUST,Housing,base
NONREVSL__mom3,0.00034226937,NONREVSL,Money and Credit,momentum
AWHMAN__mom6,0.00034181253,AWHMAN,Labor Market,momentum
INVEST__base,0.00033949158,INVEST,Money and Credit,base
IPB51222S__rollstd6,0.0003358216,IPB51222S,Output and Income,rolling_stat
TB6SMFFM__mom6,0.00033359218,TB6SMFFM,Interest and Exchange Rates,momentum
IPNMAT__rollstd12,0.00033130957,IPNMAT,Output and Income,rolling_stat
GS5__mom3,0.00033111387,GS5,Interest and Exchange Rates,momentum
WPSFD49207__lag9,0.00033077653,WPSFD49207,Prices,lag
BAAFFM__mom12,0.0003300036,BAAFFM,Interest and Exchange Rates,momentum
WPSID62__lag9,0.00032973918,WPSID62,Prices,lag
IPBUSEQ__lag6,0.0003276186,IPBUSEQ,Output and Income,lag
TB3SMFFM__lag1,0.00032617387,TB3SMFFM,Interest and Exchange Rates,lag
TB3SMFFM__lag3,0.00032282723,TB3SMFFM,Interest and Exchange Rates,lag
DPCERA3M086SBEA__lag9,0.00032242583,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
GS10__mom3,0.000321973,GS10,Interest and Exchange Rates,momentum
T5YFFM__lag3,0.00032130405,T5YFFM,Interest and Exchange Rates,lag
NONREVSL__rollmean12,0.00031954102,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollmean24,0.000317808,NONREVSL,Money and Credit,rolling_stat
PPICMM__mom6,0.00031583788,PPICMM,Prices,momentum
PERMITS__rollz6,0.00031343196,PERMITS,Housing,rolling_stat
SRVPRD__rollstd6,0.00031120417,SRVPRD,Labor Market,rolling_stat
HOUST__lag3,0.0003111808,HOUST,Housing,lag
TB6MS__base,0.00030740132,TB6MS,Interest and Exchange Rates,base
USFIRE__rollz12,0.00030722382,USFIRE,Labor Market,rolling_stat
CUSR0000SA0L5__lag3,0.0003067222,CUSR0000SA0L5,Prices,lag
MANEMP__rollz24,0.00030527962,MANEMP,Labor Market,rolling_stat
IPDMAT__lag1,0.0003050954,IPDMAT,Output and Income,lag
M2REAL__lag3,0.00030107526,M2REAL,Money and Credit,lag
CUSR0000SAS__rollz24,0.00029964367,CUSR0000SAS,Prices,rolling_stat
CE16OV__lag1,0.00029914425,CE16OV,Labor Market,lag
AAAFFM__mom6,0.00029849596,AAAFFM,Interest and Exchange Rates,momentum
DTCTHFNM__rollz6,0.00029802718,DTCTHFNM,Money and Credit,rolling_stat
CPIMEDSL__lag3,0.0002967067,CPIMEDSL,Prices,lag
FEDFUNDS__lag1,0.0002962865,FEDFUNDS,Interest and Exchange Rates,lag
BUSLOANS__lag1,0.00029527763,BUSLOANS,Money and Credit,lag
WPSID61__rollstd24,0.0002948996,WPSID61,Prices,rolling_stat
BAA__mom12,0.00029320735,BAA,Interest and Exchange Rates,momentum
TOTRESNS__lag9,0.00029269975,TOTRESNS,Money and Credit,lag
W875RX1__lag12,0.00029236337,W875RX1,Output and Income,lag
NONBORRES__lag1,0.00029179236,NONBORRES,Money and Credit,lag
SP500__lag1,0.0002898062,SP500,Stock Market,lag
NDMANEMP__rollz24,0.00028930302,NDMANEMP,Labor Market,rolling_stat
DDURRG3M086SBEA__lag3,0.00028910214,DDURRG3M086SBEA,Prices,lag
HOUSTW__rollstd12,0.00028847452,HOUSTW,Housing,rolling_stat
TOTRESNS__mom6,0.00028817233,TOTRESNS,Money and Credit,momentum
M2REAL__lag9,0.00028488442,M2REAL,Money and Credit,lag
CUUR0000SAD__mom12,0.0002847926,CUUR0000SAD,Prices,momentum
UEMPLT5__rollstd24,0.00028424858,UEMPLT5,Labor Market,rolling_stat
IPMAT__base,0.0002830881,IPMAT,Output and Income,base
WPSFD49502__rollmean6,0.0002828466,WPSFD49502,Prices,rolling_stat
CUSR0000SAS__rollz12,0.00028114938,CUSR0000SAS,Prices,rolling_stat
GS5__base,0.00027606345,GS5,Interest and Exchange Rates,base
UEMP15OV__rollz24,0.00027227896,UEMP15OV,Labor Market,rolling_stat
USGOVT__mom12,0.00027208074,USGOVT,Labor Market,momentum
CPIAPPSL__lag9,0.00026749168,CPIAPPSL,Prices,lag
CES0600000008__lag9,0.00026690782,CES0600000008,Prices,lag
GS10__rollz6,0.00026470044,GS10,Interest and Exchange Rates,rolling_stat
IPNMAT__base,0.00026385035,IPNMAT,Output and Income,base
AWHMAN__base,0.00026332878,AWHMAN,Labor Market,base
USGOOD__lag12,0.00026040906,USGOOD,Labor Market,lag
CPIMEDSL__rollstd24,0.00025978047,CPIMEDSL,Prices,rolling_stat
USFIRE__lag9,0.00025830275,USFIRE,Labor Market,lag
IPMAT__lag1,0.00025668385,IPMAT,Output and Income,lag
